# id: location ID
# date: in the center of the calibration time window (if known) 
# Nr: raw (observed) neutron count rate (cph)
# sensitivity: sensitivity relative to FZJ calibrator (-)
# N: neutron count rate (cph), corrected for sensor efficiency (Nr/sensitivity)
# abshum: mean absolute humidity in calibration period (g/m3)
# fp: mean correction factor for pressure in calibration period (-)
# fh: mean correction factor for humidity in calibration period (-)
# fijung: mean correction factor for temporal variability of incoming neutrons in calibration period, based on JUNG (-)
# phi: temporal correction factor from pressure, humidity, incoming (fh * fp * fijung)
# Nc: neutron count rate (cph), phi-corrected (pressure, humidity, incoming)
# biomass: above-ground dry biomass (kg/m²), treated as 0 if not available
# Nvegc: neutron count rate (cph), corrected for biomass based on Baatz et al., 2015 (cph), Nc / (1 - biomass * 0.9 / 100.)
# Nsim: "neutron intensity" as simulated by PARMA (mean over energy range 1e-6 to 1e-1 MeV)
# fi: scaling factor based on Nsim, obtained by Nsim@Marquardt/Nsim
# Nscaled: neutron count rate (cph), corrected by PARMA (Nvegc * fi, if applicable, otherwise Nc * fi)
# bd: dry soil bulk density (kg/m³)
# theta: average SWC in the sensor footprint, to be used for calibration (m³/m³)
# weq: soil water equivalent of SOM and lattice water (m³/m³)
# thetaeff: apparent SWC (theta + weq, m³/m³)
# landuse: string decribing major landuse
# lon: longitude of location (decimal degree)
# lat: latitude of location (decimal degree)
# alt: altitude of location (m asl)
# tocal: True if row data was used for general N0 calibration
id;date;Nr;sensitivity;N;abshum;fp;fh;fijung;phi;Nc;biomass;Nvegc;Nsim;fi;Nscaled;bd;theta;weq;thetaeff;landuse;lon;lat;alt;tocal
JEC001;2015-04-20 12:00:00;1492.880;1.147;1301.552;5.191;1.064;0.987;1.053;1.105;1438.738;0.000;1438.738;18.407;0.929;1336.596;1207.981;0.267;0.056;0.323;Grassland;11.625;50.951;140.000;True
JEC001;2015-04-27 12:00:00;1710.080;1.147;1490.915;8.693;0.902;1.006;1.057;0.959;1429.708;0.000;1429.708;18.407;0.929;1328.208;1211.729;0.237;0.056;0.293;Grassland;11.625;50.951;140.000;False
JEC001;2015-04-28 12:00:00;1609.200;1.147;1402.964;5.345;0.973;0.988;1.051;1.011;1418.145;0.000;1418.145;18.407;0.929;1317.465;1212.229;0.234;0.056;0.290;Grassland;11.625;50.951;140.000;False
JEC001;2015-05-04 12:00:00;1626.560;1.147;1418.099;9.431;0.936;1.010;1.060;1.002;1420.977;0.000;1420.977;18.407;0.929;1320.096;1212.741;0.230;0.056;0.286;Grassland;11.625;50.951;140.000;False
JEC001;2015-05-05 12:00:00;1647.200;1.147;1436.094;10.402;0.914;1.015;1.063;0.986;1416.120;0.000;1416.120;18.407;0.929;1315.583;1212.535;0.231;0.056;0.287;Grassland;11.625;50.951;140.000;True
JEC001;2015-05-11 12:00:00;1508.520;1.147;1315.187;6.974;1.059;0.997;1.058;1.116;1467.797;0.000;1467.797;18.407;0.929;1363.592;1214.475;0.217;0.056;0.273;Grassland;11.625;50.951;140.000;False
JEC001;2015-05-20 12:00:00;1702.240;1.147;1484.080;6.864;0.974;0.996;1.048;1.016;1507.578;0.000;1507.578;18.407;0.929;1400.549;1216.589;0.203;0.056;0.259;Grassland;11.625;50.951;140.000;False
JEC001;2015-05-27 12:00:00;1666.560;1.147;1452.973;6.224;1.036;0.993;1.030;1.059;1538.277;0.000;1538.277;18.407;0.929;1429.069;1217.572;0.196;0.056;0.252;Grassland;11.625;50.951;140.000;False
JEC001;2015-06-04 12:00:00;1540.960;1.147;1343.470;8.136;1.080;1.003;1.040;1.126;1512.253;0.000;1512.253;18.407;0.929;1404.892;1217.760;0.195;0.056;0.251;Grassland;11.625;50.951;140.000;True
JEC001;2015-06-11 12:00:00;1686.520;1.147;1470.375;8.930;1.028;1.007;1.024;1.061;1559.705;0.000;1559.705;18.407;0.929;1448.975;1218.788;0.188;0.056;0.244;Grassland;11.625;50.951;140.000;False
JEC001;2015-06-19 12:00:00;1690.880;1.147;1474.176;7.961;0.989;1.002;1.041;1.032;1521.496;0.000;1521.496;18.407;0.929;1413.479;1219.851;0.181;0.056;0.238;Grassland;11.625;50.951;140.000;False
JEC001;2015-07-02 12:00:00;1585.320;1.147;1382.145;11.371;1.038;1.020;1.043;1.106;1527.965;0.000;1527.965;18.407;0.929;1419.489;1218.248;0.192;0.056;0.248;Grassland;11.625;50.951;140.000;False
JEC001;2015-07-10 12:00:00;1673.760;1.147;1459.250;6.833;1.041;0.996;1.028;1.066;1555.593;0.000;1555.593;18.407;0.929;1445.155;1220.232;0.179;0.056;0.235;Grassland;11.625;50.951;140.000;False
