# id: location ID
# date: in the center of the calibration time window (if known) 
# Nr: raw (observed) neutron count rate (cph)
# sensitivity: sensitivity relative to FZJ calibrator (-)
# N: neutron count rate (cph), corrected for sensor efficiency (Nr/sensitivity)
# abshum: mean absolute humidity in calibration period (g/m3)
# fp: mean correction factor for pressure in calibration period (-)
# fh: mean correction factor for humidity in calibration period (-)
# fijung: mean correction factor for temporal variability of incoming neutrons in calibration period, based on JUNG (-)
# phi: temporal correction factor from pressure, humidity, incoming (fh * fp * fijung)
# Nc: neutron count rate (cph), phi-corrected (pressure, humidity, incoming)
# biomass: above-ground dry biomass (kg/m²), treated as 0 if not available
# Nvegc: neutron count rate (cph), corrected for biomass based on Baatz et al., 2015 (cph), Nc / (1 - biomass * 0.9 / 100.)
# Nsim: "neutron intensity" as simulated by PARMA (mean over energy range 1e-6 to 1e-1 MeV)
# fi: scaling factor based on Nsim, obtained by Nsim@Marquardt/Nsim
# Nscaled: neutron count rate (cph), corrected by PARMA (Nvegc * fi, if applicable, otherwise Nc * fi)
# bd: dry soil bulk density (kg/m³)
# theta: average SWC in the sensor footprint, to be used for calibration (m³/m³)
# weq: soil water equivalent of SOM and lattice water (m³/m³)
# thetaeff: apparent SWC (theta + weq, m³/m³)
# landuse: string decribing major landuse
# lon: longitude of location (decimal degree)
# lat: latitude of location (decimal degree)
# alt: altitude of location (m asl)
# tocal: True if row data was used for general N0 calibration
id;date;Nr;sensitivity;N;abshum;fp;fh;fijung;phi;Nc;biomass;Nvegc;Nsim;fi;Nscaled;bd;theta;weq;thetaeff;landuse;lon;lat;alt;tocal
MQ1;2022-10-10;1933.044;1.190;1624.407;7.765;1.005;1.001;0.996;1.002;1629.805;1.746;1655.826;17.037;1.004;1661.949;1315.007;0.160;0.027;0.187;Cropland;12.958;52.466;38.700;True
MQ2;2022-10-10;615.277;0.452;1361.233;7.049;1.075;0.998;0.994;1.065;1431.965;6.538;1521.494;16.915;1.011;1538.135;1257.453;0.217;0.028;0.245;Cropland;12.956;52.466;31.100;True
MQ4;2022-10-10;7715.333;4.544;1697.917;7.765;1.005;1.001;0.996;1.002;1699.511;4.640;1773.578;17.051;1.003;1778.675;1379.589;0.138;0.028;0.166;Cropland;12.958;52.467;39.600;True
MQ11;2022-10-10;8120.083;4.754;1708.053;7.765;1.005;1.001;0.996;1.002;1711.221;1.378;1732.705;17.090;1.001;1733.719;1346.294;0.162;0.027;0.189;Cropland;12.959;52.466;42.000;True
MQ12;2022-10-10;3184.583;1.818;1751.696;7.765;1.005;1.001;0.996;1.002;1754.940;3.102;1805.337;17.134;0.998;1801.755;1316.008;0.154;0.028;0.182;Cropland;12.959;52.468;44.700;True
MQ21;2022-10-10;1812.456;1.132;1601.109;7.765;1.005;1.001;0.996;1.002;1603.358;2.781;1644.516;16.934;1.010;1660.637;1365.882;0.169;0.034;0.203;Cropland;12.957;52.466;32.300;True
MQ22;2022-10-10;1789.128;1.161;1541.023;7.765;1.005;1.001;0.996;1.002;1544.139;1.477;1564.947;16.993;1.006;1574.801;1296.355;0.179;0.033;0.212;Cropland;12.959;52.466;36.000;True
MQ26;2022-10-10;3266.842;2.040;1601.393;7.765;1.005;1.001;0.996;1.002;1603.677;3.408;1654.426;16.961;1.008;1667.985;1342.052;0.166;0.028;0.194;Cropland;12.957;52.466;34.000;True
MQ27;2022-10-10;3275.083;2.024;1618.124;7.765;1.005;1.001;0.996;1.002;1620.863;2.913;1664.508;16.960;1.008;1678.248;1428.666;0.159;0.027;0.187;Cropland;12.957;52.467;33.900;True
FENDT1;2019-06-25 18:00:00;1621.173;1.190;1362.330;13.799;1.053;1.038;0.971;1.061;1446.492;15.275;1677.045;26.770;0.639;1071.254;952.691;0.478;0.115;0.593;Forest;11.064;47.825;599.060;True
FENDT2;2019-06-25 18:00:00;810.426;0.452;1792.977;13.799;1.053;1.038;0.971;1.061;1903.153;0.305;1908.388;26.751;0.639;1219.896;1078.433;0.327;0.120;0.447;Grassland;11.062;47.827;598.250;True
FENDT3;2019-06-25 18:00:00;827.968;0.458;1807.790;13.799;1.053;1.038;0.971;1.061;1918.910;0.129;1921.133;26.713;0.640;1229.790;1050.062;0.357;0.116;0.473;Grassland;11.059;47.832;596.540;True
FENDT4;2019-06-25 18:00:00;7730.790;4.530;1706.576;13.799;1.053;1.038;0.971;1.061;1810.558;0.716;1822.303;26.753;0.639;1164.781;1001.245;0.427;0.132;0.559;Grassland;11.061;47.824;598.340;True
FENDT5;2019-06-25 18:00:00;1124.050;0.670;1677.686;13.799;1.053;1.038;0.971;1.061;1777.386;0.708;1788.781;26.704;0.640;1145.452;944.564;0.367;0.107;0.474;Grassland;11.063;47.829;596.190;True
FENDT6;2019-06-25 18:00:00;1112.981;0.668;1666.140;13.799;1.053;1.038;0.971;1.061;1767.193;4.587;1843.294;26.968;0.634;1168.805;1062.615;0.403;0.123;0.526;Forest;11.065;47.823;607.490;True
FENDT7;2019-06-25 18:00:00;1280.991;0.668;1917.651;13.799;1.053;1.038;0.971;1.061;2035.408;0.161;2038.354;26.794;0.638;1300.883;1128.299;0.343;0.119;0.462;Grassland;11.060;47.828;600.040;True
FENDT8;2019-06-25 18:00:00;1912.258;1.161;1647.079;13.799;1.053;1.038;0.971;1.061;1741.374;0.145;1743.645;26.674;0.641;1117.805;920.792;0.452;0.101;0.554;Grassland;11.060;47.832;594.860;True
FENDT14;2019-06-25 18:00:00;1203.501;0.871;1381.746;13.799;1.053;1.038;0.971;1.061;1466.950;21.268;1814.208;27.006;0.633;1148.743;991.104;0.352;0.112;0.464;Forest;11.069;47.832;608.960;True
FENDT16;2019-06-25 18:00:00;1896.647;1.148;1652.132;13.799;1.053;1.038;0.971;1.061;1754.425;2.714;1798.346;26.982;0.634;1139.712;959.942;0.427;0.108;0.535;Grassland;11.068;47.826;608.040;True
FENDT17;2019-06-25 18:00:00;1811.353;1.121;1615.837;13.799;1.053;1.038;0.971;1.061;1714.367;0.584;1723.426;26.650;0.642;1105.838;858.610;0.473;0.098;0.571;Grassland;11.062;47.833;593.860;True
FENDT18;2019-06-25 18:00:00;663.529;0.414;1602.728;13.799;1.053;1.038;0.971;1.061;1701.730;0.148;1704.006;26.655;0.642;1093.172;805.765;0.449;0.083;0.532;Grassland;11.063;47.832;594.070;True
FENDT19;2019-06-25 18:00:00;1644.385;1.147;1433.640;13.799;1.053;1.038;0.971;1.061;1521.488;10.471;1679.789;26.944;0.635;1066.077;1020.829;0.509;0.110;0.619;Forest;11.069;47.828;606.410;True
FENDT21;2019-06-25 18:00:00;1692.620;1.132;1495.247;13.799;1.053;1.038;0.971;1.061;1586.894;4.085;1647.462;26.719;0.640;1054.366;818.319;0.521;0.149;0.671;Grassland;11.064;47.824;596.900;True
FENDT22;2019-06-25 18:00:00;1559.751;1.168;1335.403;13.799;1.053;1.038;0.971;1.061;1416.821;21.950;1765.619;26.985;0.634;1118.847;945.397;0.364;0.104;0.467;Forest;11.066;47.826;608.140;True
FENDT23;2019-06-25 18:00:00;1585.000;1.127;1406.389;13.799;1.053;1.038;0.971;1.061;1491.736;6.668;1586.968;26.683;0.641;1017.021;604.191;0.685;0.107;0.793;Forest;11.066;47.832;595.260;True
FENDT24;2019-06-25 18:00:00;2086.824;1.138;1833.764;13.799;1.053;1.038;0.971;1.061;1944.461;0.134;1946.804;26.741;0.639;1244.918;1104.171;0.345;0.125;0.471;Grassland;11.060;47.831;597.770;True
FENDT25;2019-06-25 18:00:00;1169.673;0.665;1758.907;13.799;1.053;1.038;0.971;1.061;1867.216;0.128;1869.371;26.696;0.641;1197.417;1010.364;0.364;0.111;0.476;Grassland;11.060;47.832;595.840;True
WUEST1;2019-06-25 18:00:00;767.947;0.452;1698.998;6.552;1.026;0.990;0.972;0.987;1679.731;7.794;1806.454;28.440;0.601;1086.159;621.699;0.539;0.080;0.618;Forest;6.333;50.503;604.200;True
WUEST3;2019-06-25 18:00:00;746.308;0.452;1651.124;6.552;1.026;0.990;0.972;0.987;1630.936;8.816;1771.493;28.815;0.593;1051.277;672.675;0.432;0.095;0.527;Forest;6.336;50.503;619.000;True
WUEST4;2019-06-25 18:00:00;1719.771;1.147;1499.364;6.552;1.026;0.990;0.972;0.987;1480.127;26.360;1940.495;28.729;0.595;1155.017;835.578;0.309;0.106;0.415;Forest;6.330;50.504;615.580;True
WUEST5;2019-06-25 18:00:00;1750.562;1.147;1526.210;6.552;1.026;0.990;0.972;0.987;1506.930;23.101;1902.472;28.729;0.595;1132.384;771.190;0.354;0.106;0.461;Forest;6.331;50.503;615.620;True
WUEST6;2019-06-25 18:00:00;1903.229;1.147;1659.311;6.552;1.026;0.990;0.972;0.987;1638.876;21.659;2035.698;29.063;0.588;1197.758;730.765;0.325;0.079;0.404;Forest;6.329;50.501;628.680;True
WUEST7;2019-06-25 18:00:00;1604.883;0.904;1775.313;6.552;1.026;0.990;0.972;0.987;1753.316;9.934;1925.464;28.994;0.590;1135.595;606.129;0.449;0.069;0.518;Forest;6.338;50.502;625.990;True
WUEST8;2019-06-25 18:00:00;3106.191;2.030;1530.143;6.552;1.026;0.990;0.972;0.987;1510.289;9.881;1657.709;28.320;0.604;1000.947;635.965;0.503;0.087;0.591;Forest;6.333;50.504;599.430;True
WUEST9;2019-06-25 18:00:00;3127.146;2.030;1540.466;6.552;1.026;0.990;0.972;0.987;1520.566;21.003;1874.982;28.650;0.597;1119.099;652.436;0.355;0.094;0.449;Forest;6.335;50.504;612.480;True
WUEST10;2019-06-25 18:00:00;2343.409;1.350;1735.858;6.552;1.026;0.990;0.972;0.987;1714.059;23.034;2162.333;28.947;0.591;1277.365;695.587;0.332;0.076;0.408;Forest;6.331;50.502;624.140;True
WUEST11;2019-06-25 18:00:00;2254.523;1.400;1610.373;6.552;1.026;0.990;0.972;0.987;1590.194;21.026;1961.341;28.905;0.592;1160.316;720.233;0.319;0.099;0.418;Forest;6.333;50.501;622.550;True
WUEST12;2019-06-25 18:00:00;2061.708;1.276;1615.759;6.552;1.026;0.990;0.972;0.987;1595.263;16.672;1876.896;28.941;0.591;1108.978;797.557;0.344;0.086;0.430;Forest;6.328;50.503;623.900;True
WUEST13;2019-06-25 18:00:00;1891.560;1.152;1641.979;6.552;1.026;0.990;0.972;0.987;1621.120;7.649;1740.972;28.843;0.593;1032.161;767.665;0.380;0.117;0.497;Forest;6.336;50.502;620.110;True
WUEST14;2019-06-25 18:00:00;1877.175;1.102;1703.426;6.552;1.026;0.990;0.972;0.987;1682.303;9.165;1833.536;28.644;0.597;1094.591;677.456;0.434;0.106;0.540;Forest;6.334;50.502;612.300;True
WUEST15;2019-06-25 18:00:00;1955.674;1.191;1642.044;6.552;1.026;0.990;0.972;0.987;1621.506;20.260;1983.097;28.934;0.591;1172.011;730.626;0.338;0.105;0.444;Forest;6.336;50.501;623.680;True
